text,translated_text,clean_text,source,date,type,language,neg,neu,pos,compound,locations,events,station_mention,dominant_topic,summary
"काठमाडौं : लमजुङ, ओखलढुङ्गा, सिन्धुलीलगायतका जिल्लामा भारी वर्षा भएको छ । काठमाडौं उपत्यकासहित देशका धेरै ठाउँमा अहिले पानी परिरहेको छ । ठूलो पानी परेका क्षेत्रमा आकस्मिक बाढीको जोखिम छ । लमजुङको खुदीबजार र आसपास परेको ठूलो पानीले खुदीखोलालगायत लमजुङ भएर बग्ने साना नदीमा आकस्मिक बाढीको जोखिम रहेको बाढी पूर्वानुमान महाशाखाले जनाएको छ । त्यहाँ बिहान ९ बजेसम्म नै सतर्कता अपनाउन भनिएको छ । त्यस्तै, बेसिसहर चामे सडक खण्डमा पहिरोको उच्च जोखिम छ । ओखलढुङ्गामा जलसतहले सतर्कता तह पार गरेको र यो बढ्दो क्रममा रहेकाले दुधकोशी र सुनकोशी दोभानसम्मको नदी तटीय क्षेत्रहरूमा बिहान १० बजेसम्म नै उच्च सतर्कता अपनाउन भनिएको छ । कमला नदी, रानीबास सिन्धुली जलमापन केन्द्रमा जलसतह सतर्कता तह आसपास छ । जलसहत बढ्दो क्रममा छ । उदययुर, सिन्धुली, धनुषा र सिरहाको तटीयक्षेत्र लगायत डुबान भइरहने होचा ठाउँहरुमा पनि आज बिहान ११ बजेसम्म सतर्कता अपनाउन बाढी पूर्वानुमान महाशाखाले अनुरोध गरेको छ । त्यस्तै, काठमाण्डौ उपत्यकासहित दार्चुला, म्याग्दी, कास्की, बारा, मकवानपुर, सिन्धुली, सिन्धुपाल्चोक, दोलखा, खोटाङ, इलाम र आसपास क्षेत्रमा पनि पानी परिरहेको छ । कतै ठूलो वर्षा भइरहेको छ । स–साना नदीमा जलसतह बढ्न सक्ने, केही ठाउँमा आकस्मिक बाढीको जोखिमका साथै कमजोर भिरालो जमिनमा पहिरोको जोखिम हुन सक्ने भएकाले दिउँसोसम्म नै सतर्कता अपनाउन अनुरोध गरिएको छ । आज मधेस, बाग्मती, गण्डकी र लुम्बिनी प्रदेशका थोरै ठाउँहरू तथा कोशी प्रदेशको एकरदुई ठाउँमा ठूलो वर्षाको सम्भावना रहेको जल तथा मौसम पूर्वानुमान महाशाखाले जनाएको छ । अहिले मुग्लिन नारायणगढ सडकमा दुईतर्फी नै गाडी चलिरहेका छन् । यो सडक पहिरोका कारण पटक(पटक बन्द हुँदै आएको छ । ट्राफिक प्रहरीले सडकको अवस्था बुझेर मात्र यात्रा गर्न अनुरोध गर्दै आएको छ ।","Kathmandu: Lamjung, Okhaldhuuu, Syndunga, Syndung, Sindhunga, Sympathetic, rains heavy rains.Kathmandu is still raining in many parts of the country with valley.There is a risk of a emergency flood in large water.According to the flood predicted in the small river that had a lamb traces and large water in Lamjung, including a lamb.There is a state of alert until 9 am.Similarly, Basishar is a higher risk of landslides in the segment.It is said to adopt high vigilance by 10 pages to milkophysicists and Sunkoshi-covered in Okhaldhunga and it grows in the growing period.The Kamala River, Raniban's silulous water is around the center of water.The water is growing in order.The flood forecasts of the coastal areas of Udayu, Dhanush, and the coastal areas of Siraha, has requested the flood.Similarly, Kathmandu, Myagdhi, Kaski, Bara, Makwanpur, Shitang, Doughakali, OLDang, Ilam and Around Sectha, Doughakaphak, OLD in Overpieces.Somewhere is getting rained.He has been requested to adopt water from the afternoon as long as landslides can be increased in small rivers that they can grow in some small rivers and the landslides in a weak slope of land.Today, fewer rains in the Madhes, Bagmi, Valid in Koshi Prair and Lumbini states, according to water and weather forecasting District.There are now two-sided vehicle on Mustlin Narayangle road now.This is why it has been closed for the landslide.",kathmandu lamjung okhaldhuuu syndunga syndung sindhunga sympathetic rains heavy still raining many parts country risk emergency flood large flood predicted small river lamb traces large water lamjung including state alert basishar higher risk landslides said adopt high vigilance pages milkophysicists okhaldhunga grows growing kamala river raniban silulous water around center water growing flood forecasts coastal areas udayu dhanush coastal areas siraha requested kathmandu myagdhi kaski bara makwanpur shitang doughakali oldang ilam around sectha doughakaphak old getting requested adopt water afternoon long landslides increased small rivers grow small rivers landslides weak slope fewer rains madhes bagmi valid koshi prair lumbini states according water weather forecasting vehicle mustlin narayangle road closed landslide,Janaprashasan,2023-08-25,article,ne,0.079,0.804,0.117,0.4019,"['Lamjung', 'Syndunga', 'Syndung', 'Sindhunga', 'Kathmandu', 'Lamjung', 'Okhaldhunga', 'Udayu', 'Siraha', 'Kathmandu', 'Kaski', 'Bara', 'Makwanpur', 'Shitang', 'Doughakali']",['Today'],"['Okhaldhunga', 'Siraha']",1,"Kathmandu: Lamjung, Okhaldhuuu, Syndunga, Syndung, Sindhunga, Sympathetic, rains heavy rains.Kathmandu is still raining in many parts of the country with valley.There is a risk of a emergency flood in large water.According to the flood predicted in the small river that had a lamb traces and large water in Lamjung, including a lamb.There is a state of alert until 9 am.Similarly, Basishar is a higher risk of landslides in the segment.It is said to adopt high vigilance by 10 pages to milkophysicists and Sunkoshi-covered in Okhaldhunga and it grows in the growing period.The Kamala River, Raniban's silulous water is around the center of water.The water is growing in order.The flood forecasts of the coastal areas of Udayu, Dhanush, and the coastal areas of Siraha, has requested the flood.Similarly, Kathmandu, Myagdhi, Kaski, Bara, Makwanpur, Shitang, Doughakali, OLDang, Ilam and Around Sectha, Doughakaphak, OLD in Overpieces.Somewhere is getting rained.He has been requested to adopt water from the afternoon as long as landslides can be increased in small rivers that they can grow in some small rivers and the landslides in a weak slope of land.Today, fewer rains in the Madhes, Bagmi, Valid in Koshi Prair and Lumbini states, according to water and weather forecasting District.There are now two-sided vehicle on Mustlin Narayangle road now.This is why it has been closed for the landslide."
"२०८१,६,१८ देशका पूर्वी र मध्य क्षेत्रमा आज पनि बदली र वर्षाको सम्भावना रहेको मौसम पूर्वानुमान महाशाखाले जनाएको छ । भोजपुर, ओखलढुङ्गा, इलाम, पाँचथर, सिन्धुपाल्चोक, मकवानपुरलगायतका ठाउँमा राति र बिहान पानी परेको छ । आज कोशी र गण्डकी प्रदेशका एकरदुई ठाउँमा ठूलो पानी पर्ने सम्भावना रहेको महाशाखाले जनाएको छ । तर अघिल्लो हप्ताजस्तो अविरल र घनघोर वर्षाको सम्भावना नरहेको मौसमविद्ले बताएका छन् । ठूलो पानी परेका ठाउँमा आकस्मिक बाढी र कमजोर जमिनमा पहिरोको जोखिम हुने भएकाले सावधानी अपनाउन मौसमविद्ले आग्रह गरेका गरेका छन् । अघिल्लो समाचार पछिल्लो समाचार १० घन्टा अघि १ दिन अघि १ दिन अघि १ दिन अघि १ दिन अघि २ दिन अघि","Weather forecasting Cryastra, which is also changing and chances of rain in 2081,618 countries, the weather is likely to change.There is night and rain on Ilam, Okhaldhu, Panchthar, Sindhupalchowk, Makwanpalpalk, Makwanpalpalk.District in acres of Koshi and Gandaki region today is likely to be large water.But the Meteorologist says that the previous year is not the potential for the previous year.Meteorologists have requested to take precautions as the landslide in caste floods and wear in the weak landslide.Previous New New Year before 10 hours ago 1 day before 1 day before 1 day ago",weather forecasting cryastra also changing chances rain countries weather likely night rain ilam okhaldhu panchthar sindhupalchowk makwanpalpalk acres koshi gandaki region today likely large meteorologist says previous year potential previous requested take precautions landslide caste floods wear weak new new year hours ago day day day ago,eMountain TV,2024-09-30,article,ne,0.058,0.905,0.036,-0.2732,"['Okhaldhu', 'Koshi', 'Gandaki']","['today', 'the previous year', 'the previous year', '1 day ago']",[],0,"Weather forecasting Cryastra, which is also changing and chances of rain in 2081,618 countries, the weather is likely to change.There is night and rain on Ilam, Okhaldhu, Panchthar, Sindhupalchowk, Makwanpalpalk, Makwanpalpalk.District in acres of Koshi and Gandaki region today is likely to be large water.But the Meteorologist says that the previous year is not the potential for the previous year.Meteorologists have requested to take precautions as the landslide in caste floods and wear in the weak landslide.Previous New New Year before 10 hours ago 1 day before 1 day before 1 day ago"
"१२ आश्विन २०८१, शनिबार पढ्न लाग्ने समय :< 1मिनेट","१२ आश्विन २०८१, शनिबार पढ्न लाग्ने समय :< 1मिनेट",समय,Khabarhub,2024-09-28,article,en,0.0,1.0,0.0,0.0,[],[],[],1,"१२ आश्विन २०८१, शनिबार पढ्न लाग्ने समय :< 1मिनेट"
"असार २७, सिरहा ।  लगातारको वर्षाका कारण सदरमुकाम सिरहासहितका बजार क्षेत्र र सरकारी कार्यालय जलमग्न भएका छन् । null विगत पाँच दिनदेखिको अविरल वर्षाका कारण सदरमुकाम सिरहामा सडकबाटै पानी बग्न थालेपछि आवतजावतमा समेत समस्या भइरहेको स्थानीयवासीले बताएका छन् । पानीको निकास नहुँदा सदरमुकामस्थित तत्कालीन जिल्ला कृषि विकास कार्यालय, जिल्ला पशु सेवा कार्यालय, नेपाल विद्युत् प्राधिकरण कार्यालय, जिल्ला प्रहरी कार्यालयलगायतका सरकारी कार्यालय जलमग्न भएका छन् । यस्तै पानीको सतह बढेपछि सिरहाको गोलबजारका केही क्षेत्र जलमग्न भएको छ भने पूर्वपश्चिम राजमार्गमै पानी जमेको छ । अविरल वर्षाका कारण इलाका प्रहरी कार्यालय लहानसमेत जलमग्न भएको छ । कार्यालय परिसरमा करीब तीन/चार फिटसम्म पानी जम्दा पीडितलाई कार्यालयसम्म पुग्न समस्या भइरहेको छ । पानीको कुनै निकास नभएको र वर्षा अझै जारी रहेकाले कार्यालय परिसरमा पानीको सतह बढ्ने सम्भावना रहेको इलाका प्रहरी कार्यालय लहानका प्रहरी नायब उपरीक्षक भेषराज रिजालले जानकारी दिए । यता वर्षाका कारण अहिलेसम्म कुनै भौतिक तथा मानवीय क्षति नभएको सिरहाका प्रमुख जिल्ला अधिकारी गोपालप्रसाद अधिकारीले जानकारी दिए । उनले भने, “अहिलेसम्म बाढी पानीले कुनै किसिमको क्षति भएको जानकारी आएको छैन, तर बाढी आउनसक्ने स्थानमा सुरक्षाकर्मीलाई सर्तक अवस्थामा राखेका छौँ ।” बाढीले पु¥याउन सक्ने क्षतिलाई दृष्टिगत गरी विपत्को पूर्वतयारी गरिएको प्रजिअ अधिकारीको कथन छ । खासगरी सिरहामा बलान, कमलालगायतका नदीको बाढीले वर्षेनी क्षति पुर्याउने गरेको छ । सिरहा, सप्तरीलगायत जिल्लामा आज बिहानैदेखि वर्षा जारी रहेकाले बजार, सडकलगायतका अन्य ठाउँ सुनसान देखिएको छ । जलमग्न जनकपुर जनकपुरधाम– अविरल वर्षाका कारण जनकपुरधाम उपमहानगरपालिका जलमग्न भएको छ । वर्षाले नगरका सडक जलाशयमा परिणत भएको छ भने उपनगरपालिकाको घर–घरमा पानी पसेको छ । निकास नभएका कारण जनकपुरधामस्थित सरकारी कार्यालय डुबानमा परेको छ । जिल्ला प्रशासन कार्यालय, जिल्ला प्रहरी कार्यालय, वन कार्यालय, आन्तरिक राजश्व कार्यालय, राष्ट्रिय समाचार समिति, हुलाक कार्यालय, वन निर्देशनालयलगायतका कार्यालय परिसरमा तीन फिटसम्म पानी जमेको छ । राष्ट्रिय समाचार समिति कार्यालयमा पानी पस्दा कागजातहरू क्षति पुर्याएको छ भने समाचार सम्प्रेषणमा समेत समस्या उत्पन्न भएको छ । अविरल वर्षाले धनुषा जिल्लाको कमला नदीको जलसतह पनि बढेको छ । रासस","July 27, Siraha.Market area, including district headquarters Siraha, have been flooded with district headquarters Siraha.The locals said that there was problems in the current mobilities due to the last five days due to the last five days.With the lack of water, the Government of government officials including the then district agriculture service office, the District Animal Service Office, Nepal Electricity Authority Office, Nepal Electricity Office, has been subjected to the District Police Office.Some areas of Siraha in Siraha is flooded in the East-wet highway, while such a surface is increased.Due to the immediately rainy, the Area Police Office, Lahan has been submerged.The office premises are being trouble for about three or four feet to reach the office.The water level of the Area Police Office Rijal informed that there is no exit of water and the rain still continue.Government of Chief Officer of Siraha of Siraha, Chief of Siraha, said that there is no physical and humanienative damage yet due to rain, Gopal Prasad Adhikari informed.He said, ""So far, there is no information that floods had any loss.""It is a statement of Protections in view of the damage caused by the floods.Especially in the Siraha, Kiraha, and the river, especially the river, has been damaged each year.Siraha, Saptari, issued rain from the district, has been deserted, including markets, rotten and other spaces.Janakpurdham Sub-Metrophic Sub-Metrophic Sub-Metrophic Sub-Metrophesis has been submitted by the Janakpur of Janakpur Janakpur-International Rainy rains.Rain has turned into a street reservoir and the suburbanpani has entered the house-to-house.Due to the disappearance of Janakppaldham, Janakppaldham is in Janakpath.The water fell on the office prices, including the District Administration Office, the District Police Office, Forest Office, the Mahaljal Office, the post office, Post office, Forest Office, on office prices.If the water is damaged in the National News Committee office, problems have arisen in the context of the news.Insurvior Rain has also increased at the Khup River in Dhanus district.Rasas",july area including district headquarters siraha flooded district headquarters locals said problems current mobilities due last five days due last five lack water government government officials including district agriculture service office district animal service office nepal electricity authority office nepal electricity office subjected district police areas siraha siraha flooded highway surface immediately rainy area police office lahan office premises trouble three four feet reach water level area police office rijal informed exit water rain still chief officer siraha siraha chief siraha said physical humanienative damage yet due rain gopal prasad adhikari said far information floods loss statement protections view damage caused siraha kiraha river especially river damaged saptari issued rain district deserted including markets rotten submitted janakpur janakpur rainy turned street reservoir suburbanpani entered disappearance janakppaldham janakppaldham water fell office prices including district administration office district police office forest office mahaljal office post office post office forest office office water damaged national news committee office problems arisen context rain also increased khup river dhanus,Makalu Khabar,2019-07-12,article,ne,0.17,0.806,0.024,-0.9773,"['Siraha', 'Lahan', 'Siraha', 'Kiraha', 'Janakppaldham', 'Janakppaldham', 'Janakpath', 'Dhanus']","['July 27', 'the last five days', 'the last five days', 'each year']",['Siraha'],0,"July 27, Siraha.Market area, including district headquarters Siraha, have been flooded with district headquarters Siraha.The locals said that there was problems in the current mobilities due to the last five days due to the last five days.With the lack of water, the Government of government officials including the then district agriculture service office, the District Animal Service Office, Nepal Electricity Authority Office, Nepal Electricity Office, has been subjected to the District Police Office.Some areas of Siraha in Siraha is flooded in the East-wet highway, while such a surface is increased.Due to the immediately rainy, the Area Police Office, Lahan has been submerged.The office premises are being trouble for about three or four feet to reach the office.The water level of the Area Police Office Rijal informed that there is no exit of water and the rain still continue.Government of Chief Officer of Siraha of Siraha, Chief of Siraha, said that there is no physical and humanienative damage yet due to rain, Gopal Prasad Adhikari informed.He said, ""So far, there is no information that floods had any loss. ""It is a statement of Protections in view of the damage caused by the floods.Especially in the Siraha, Kiraha, and the river, especially the river, has been damaged each year.Siraha, Saptari, issued rain from the district, has been deserted, including markets, rotten and other spaces.Janakpurdham Sub-Metrophic Sub-Metrophic Sub-Metrophic Sub-Metrophesis has been submitted by the Janakpur of Janakpur Janakpur-International Rainy rains.Rain has turned into a street reservoir and the suburbanpani has entered the house-to-house.Due to the disappearance of Janakppaldham, Janakppaldham is in Janakpath.The water fell on the office prices, including the District Administration Office, the District Police Office, Forest Office, the Mahaljal Office, the post office, Post office, Forest Office, on office prices.If the water is damaged in the National News Committee office, problems have arisen in the context of the news.Insurvior Rain has also increased at the Khup River in Dhanus district.Rasas"
"Facebook Messenger Whatsapp Viber Twiter Copy Link सिरहा —  हरेक वर्षायाममा सिरहाका विभिन्न ठाउँ जलमग्न हुन्छन् । कारण ‘निकास’ को उचित प्रबन्ध नहुनु । तर, बजार क्षेत्रमा पानीको निकास नहुँदा जलमग्न भए पनि किसानीको खेतमा पानी नहुँदा सिरहामा रोपाइँ हुन सकेको छैन । ‘खेतीकिसानीका लागि खेतमा पानी हुनुपर्छ, तर आलिधुर भत्काउने जलमग्न होइन’ सिरहा ईटाटारका वासुदेव यादव भन्छन्, ‘आकाशे पानीको भरमा खेती गर्दै आएका थियौं तर निरन्तर वर्षाले व्याड र रोपाइँमा बसेका किसानलाई क्षनै क्षति पुर्‍यायो ।’ कारण ‘अधिक’ वर्षा हुनु । अन्न भण्डार मानिएको यस क्षेत्रका किसान आकाशे वर्षा नहुँदा निराश थिए । ढिलो मनसुन सक्रियपछिको वर्षासँगै किसान उत्साहित त भए तर निरन्तर वर्षाले रोपाइँलाई प्रभावित तुल्यायो । ‘लामो खडेरी पछि वर्षा त भयो, मन खुशि थियो, तर लामो दिनरातको वर्षाले काम गरेन’ सिरहा इटाटारका किसान वासुदेव यादव भन्छन्, ‘पहिला रातमा वर्षा हुन्थ्यो, दिनभर किसानलाई काम गर्नका लागि मौसम छ्यांग हुन्थ्यो । तर यसपटक मौसमको भेउ पाउन सकिन ।’ उनका अनुसार दिनरात वर्षाले छाडेन्, प्रकृतिले समेत साथ दिएन । उनी भन्छन् ‘प्रकृतिले पनि साथ दिन छाड्यो, युवा पुस्ताले खेती गर्न छाडे । खेतीपाति बुढापाकाको काँधमा आइपरेको छ । त्यसो त वासुदेवको ३ विघा जग्गामा अहिलेपनि रोपो हुनसकेको छैन । नजिकै सहजा सिंचाई आयोजना छ । विगतमा त्यही आयोजनाको कारण उनको जग्गा सिंचित हुन्थ्यो । तर अहिले सतही सिंचाई योजना खिचातानीका कारण सुचारु छैन । उनी आकाशे वर्षाको भरमा छन् । भन्छन् ‘लामो समय पानी परेन, पानी त पर्‍यो तर खेतमा नअड्ने गरी आलीधुर भत्काएर गयो, किसानीलाई मारैमार ।’ वासुदेवमात्र होइन, सिरहाका अधिकांश किसान रोपाइँ हुन नसक्दा चिन्तित छन् । असार बित्न लाग्दासमेत जिल्ला ४ प्रतिशतमात्र रोपाइँ भएको छ । केही दिन यता मनसुन सक्रिय भए पनि किसानले रोपाइँ गर्न सकेका छैनन् ।बर्सेनि डुबानसिंचाई अभावमा ग्रामीण क्षेत्रका किसान धान रोपाइँ गर्न सक्दैनन् भने भेल निकासको दीर्घकालीन समस्या हल नर्गदा सिरहाका बजार क्षेत्रका स्थानीय डुबानको मारमा पर्छन । जिल्लामा कमला, बलान, गागन र खुट्टी मूख्य खोला हुन । यी सतही नदी प्रवाह क्षेत्रमा वर्षायाममा जलस्तर बढी हुन्छ । वर्षायामसँगै यो जलप्रवाह बढेको छ । जिल्ला प्रहरी कार्यालय सिरहाका अनुसार कर्जन्हा नगरपालिका–२ स्थित कमला नदीको बगरमा सानो कुटी बनाएर बस्दै आएका गुद्रु मुखियाको घर बाढीले बगाउँदा मुखिया रातभरी कुटीछेउको रुखको हाँगामा फसेका छन् । बिहीबार राति कुटी बगाएपछि मुखियाले नजिकैको रुखमा चढेर आफ्नो ज्यान जोगाए । बाढी आएलगत्तै बगरको रुखमा चढेका मुखिया शुक्रबार दिनभर हाँगामाथि छन् । नदीमा आएको बाढीको बहाव अत्यन्त तीब्र भएकोले उनको उद्धार हुनसकेको छैन । मुखियाको उद्धार गर्न पुगेको उद्धार टोली बाढीमा जान नसकेपछि बाढी कम हुने आशामा नदीको किनारामा नै उभिएका छन् । निरन्तर वर्षाकाकारण बाढीका बहाव कम हुने नदेखिएकोले जिल्ला प्रशासन कार्यालय सिरहाले गृह मन्त्रालयसँग मुखियाको उद्धारको लागि हेलिकप्टर माग गरेको छ । यस्तै, सिंचाइ प्रयोजनका लागि कमला नदीको बााधसँग जोडिएको कल्भर्ट भत्किँदा कमलाको बाढी सिरहा नगरपालिका–६ स्थित बसबिट्टा गाउँमा पस्दा जलमग्न भएको छ । सिंचाइँका लागि कमला नदी नियन्त्रण योजना कार्यालय जनकपुरले निर्माण गरेको कल्भर्टमा ‘एन्टी लड सुलुस गेट’ अधुरै छोड्दा त्यहीबाट बाढी गाउँमा पसेको स्थानीयले जानकारी दिए ।","FACEBOOK MESSEENGER WHATSAPPPPPER VIBER TWITER TWITER COPY LINK Siraha - every rainy season are submerged in different places.Reason not the proper arrangement of 'exit exits'.However, even though water sector is not the exit of water in the market area, the farm facial farmers have not been planning in Siraha.""There should be water in the fields for farming,"" says the rain in the sky, ""he continued to raise Siraha Batitar. 'A farmer in this area was frustrated when he was not raining.The peasant excitement was aside with the ransom after a slower rains, but continued rainfalls affected planting.""There was a rains after a long drought, but she did not work in the long day, said the farmer of Siraha Itar, Siraha Atta, the season.But this time, I couldn't find the weigh.He says' Nature left together, the young generation stopped cultivating.Farming has come to the shoulder of Buddha.It is not rope in 3-horned land of the Vasuddiv.There is a curtain irrigation project nearby.His land would was insulminating the same project in the past.But now superficial irrigation schemes is not the frustration.He is on the sky rains.It says, 'There was a lot of water to water, but the farmer died in the field, but most of the farmers of Siraha are concerned about not being transposed.District has been planted by the district even after July 4 percent.Although the farmer cannot be planted for a few days, farmers cannot plant the farmer breakfast of the rural problem.A small river in the district, small, hurricanes, gagan, and powered.The water level is higher in the rains in the rainy season in the field flow.With the rainy season it has increased it.According to the District Police Office, Siraha, the head of the flood's house in Kujanha River in the Baghla River, which has been buzzing house in Kandonha Municipality-2, has fallen into the branch of thorns.After a thick across the thursday night, the chief saved his life.The chief tree that climbing a flood is on the head of Friday.He has not been saved because the flow of floods in the river was very intense.The rescue team for a rescue commitment to be rescue to the rescue team has stood on the shores of the river.The constant rainfall has not been reducing the flow of flood, Siraha has demanded a helicopter for the rescuer of the Home Mantra.Similarly, the Convelope of the Lower River collapsed for irrigation purposes, floods have been submerged when he entered the busbridge-6-ranging village in Water.According to the locals, the 'Anti River Planning Planning Office, Janakpur, Jabpep, Banquet, Jabrhat, Jabrhat, said in the flood.",facebook messeenger whatsappppper viber twiter twiter copy link siraha every rainy season submerged different proper arrangement even though water sector exit water market area farm facial farmers planning siraha water fields farming says rain sky continued raise siraha batitar farmer area frustrated peasant excitement aside ransom slower rains continued rainfalls affected planting rains long drought work long day said farmer siraha itar siraha atta time could find says nature left together young generation stopped come shoulder rope land curtain irrigation project land would insulminating project superficial irrigation schemes sky says lot water water farmer died field farmers siraha concerned planted district even july farmer planted days farmers plant farmer breakfast rural small river district small hurricanes gagan water level higher rains rainy season field rainy season increased district police office siraha head flood house kujanha river baghla river buzzing house kandonha fallen branch thick across thursday night chief saved chief tree climbing flood head saved flow floods river rescue team rescue commitment rescue rescue team stood shores constant rainfall reducing flow flood siraha demanded helicopter rescuer home convelope lower river collapsed irrigation purposes floods submerged entered village locals river planning planning office janakpur jabpep banquet jabrhat jabrhat said flood,Kantipur,2019-07-14,article,ne,0.101,0.782,0.117,0.8225,"['Siraha', 'hurricanes', 'gagan', 'Kandonha', 'Water', 'Jabrhat']","['the long day', 'the season', 'a few days', 'thursday', 'Friday']",['Siraha'],0,"FACEBOOK MESSEENGER WHATSAPPPPPER VIBER TWITER TWITER COPY LINK Siraha - every rainy season are submerged in different places.Reason not the proper arrangement of 'exit exits'.However, even though water sector is not the exit of water in the market area, the farm facial farmers have not been planning in Siraha. ""There should be water in the fields for farming,"" says the rain in the sky, ""he continued to raise Siraha Batitar. 'A farmer in this area was frustrated when he was not raining.The peasant excitement was aside with the ransom after a slower rains, but continued rainfalls affected planting."
